"","datetime","city","country","shape"
"6770",0010-03-20,"mount vernon /pelham",NA,"sphere"
"88827",0009-09-19,"mount wilson observatory (los angeles)",NA,"sphere"
"35397",NA,"mountain view","us","sphere"
"25854",NA,"mountian home",NA,"sphere"
"71683",0008-11-20,"mountlake terrace (seattle)","us","sphere"
"72285",0008-01-20,"moxee",NA,"sphere"
"53237",0006-01-20,"mt  rainier",NA,"sphere"
"77053",NA,"mt. airy","us","sphere"
"79662",0008-06-19,"mt. hood",NA,"sphere"
"29342",NA,"mt. popocatepetl (mexico)",NA,"sphere"
"56940",NA,"mt. shasta","us","sphere"
"51091",0005-06-20,"mt. vernon","us","sphere"
"28706",0002-11-20,"mukwonago","us","sphere"
"34389",0003-12-20,"multnomah village",NA,"sphere"
"45181",0004-07-19,"mumbai&#44 mah (canada)",NA,"sphere"
"81757",0009-01-20,"muncie","us","sphere"
"60562",0006-08-20,"munich (germany)","de","sphere"
"53946",NA,"munster","us","sphere"
"10443",NA,"murfreesboro","us","sphere"
"22237",NA,"murfreesboro","us","sphere"
"41057",NA,"murfreesboro","us","sphere"
"89035",0009-09-20,"murfreesboro","us","sphere"
"21688",NA,"murphy/arnold",NA,"sphere"
"60613",0006-08-20,"murrysville","us","sphere"
"66554",NA,"muskogee","us","sphere"
"64268",NA,"mussel shoals",NA,"sphere"
"27650",0001-06-20,"myricchidorr (australia)",NA,"sphere"
"7879",0010-08-20,"myrtle beach","us","sphere"
"18047",0011-08-20,"myrtle beach","us","sphere"
"23459",NA,"myrtle beach","us","sphere"
"26777",NA,"myrtle beach","us","sphere"
"30666",NA,"myrtle beach","us","sphere"
"49642",NA,"myrtle beach","us","sphere"
"54811",NA,"myrtle beach","us","sphere"
"66619",NA,"myrtle beach","us","sphere"
"75437",NA,"myrtle beach","us","sphere"
"80144",0008-07-20,"myrtle beach","us","sphere"
"80455",0008-08-20,"myrtle beach","us","sphere"
"80469",0008-08-20,"myrtle beach","us","sphere"
"82132",0009-12-20,"myrtle beach","us","sphere"
"85649",NA,"myrtle beach","us","sphere"
"88904",0009-09-20,"myrtle beach","us","sphere"
"88908",0009-09-20,"myrtle beach","us","sphere"
"69847",0007-05-19,"n. waterboro",NA,"sphere"
"2140",NA,"naalehu","us","sphere"
